Year,SSP1 - Baseline,SSP2 - Baseline,SSP3 - Baseline,SSP4 - Baseline,SSP5 - Baseline
2005,379.85,379.85,379.85,379.85,379.85
2010,390.5053,390.5053,390.5053,390.5053,390.5053
2020,415.34735,414.70853,417.88876,415.99597,417.24872
2030,442.30164,442.00146,451.99728,446.6259,452.76678
2040,470.47845,474.01465,491.2553,482.37497,499.67825
2050,498.17383,511.3055,535.2207,520.9601,559.69196
2060,524.97614,553.62775,583.6923,561.3776,635.79254
2070,550.82837,600.7577,636.942,602.93134,730.0255
2080,573.5107,655.1408,695.6742,643.1318,841.52014
2090,592.2589,718.6013,760.99225,681.1994,963.84155
2100,608.35425,789.84924,834.3412,718.3727,1088.9702
