Year,SSP1 - Baseline,SSP2 - Baseline,SSP3 - Baseline,SSP4 - Baseline,SSP5 - Baseline
2005,0.9133863,0.9133863,0.9133863,0.9133863,0.9133863
2010,0.9884407,0.98897696,0.98805493,0.9885621,0.9891235
2020,1.2228345,1.241407,1.2257526,1.2372127,1.2658011
2030,1.5057858,1.48262,1.5238091,1.5328748,1.6029602
2040,1.7707427,1.7615026,1.8641922,1.8738929,2.0127497
2050,2.0220566,2.0528054,2.2025094,2.2163062,2.48049
2060,2.2464108,2.3562636,2.5509324,2.5461507,2.9755037
2070,2.4603503,2.6813345,2.9115188,2.8745098,3.503795
2080,2.668723,3.0231543,3.2843482,3.2009945,4.0499
2090,2.8562114,3.3879569,3.6724231,3.4942133,4.5756955
2100,3.0177362,3.7632897,4.0710998,3.7582884,5.0519667
